"상품명","옵션내용","현재고","미발송수","주문수","주문금액","20240401","20240402","20240403","20240404","20240405","20240406","20240407","20240408","20240409","20240410","20240411","20240412","20240413","20240414","20240415","20240416","20240417","20240418","20240419","20240420","20240421","20240422","20240423","20240424","20240425","20240426","20240427","20240428","20240429","20240430","20240501","20240502","20240503","20240504","20240505","20240506","20240507","20240508","20240509","20240510","20240511","20240512","20240513","20240514","20240515","20240516","20240517","20240518","20240519","20240520","20240521","20240522","20240523","20240524","20240525","20240526","20240527","20240528","20240529","20240530","20240531","20240601","20240602","20240603","20240604","20240605","20240606","20240607","20240608","20240609","20240610","20240611","20240612","20240613","20240614","20240615","20240616","20240617","20240618","20240619","20240620","20240621","20240622","20240623","20240624","20240625","20240626","20240627","20240628","20240629","20240630",
"에바다용 뉴트럴 플라이우드 데스크","프레임-오프화이트","24","16","85","81981800","7","2","0","1","2","0","0","4","1","0","0","2","0","0","4","0","0","0","0","0","0","2","0","2","0","0","0","0","4","1","0","2","4","0","0","0","5","0","1","0","0","0","1","0","0","3","1","0","0","4","0","1","2","0","0","0","6","3","0","0","0","0","0","1","0","0","0","2","0","0","6","1","0","0","0","0","0","2","0","0","1","0","0","0","4","0","0","0","3","0","0",
"뉴트럴 메쉬백체어","오프화이트","501","82","541","69541140","30","5","9","6","5","0","0","17","5","0","9","5","0","0","22","1","6","5","2","0","0","33","1","2","5","0","0","0","18","3","0","14","8","0","0","0","35","5","9","3","0","0","27","7","0","21","10","0","0","18","6","5","7","2","0","0","33","7","1","5","5","0","0","16","3","3","0","4","0","0","19","7","1","1","2","0","0","16","3","3","6","3","0","0","25","2","4","2","4","0","0",
"터치 LED 스탠드","단일상품","542","73","447","68277908","23","5","6","6","4","0","0","14","4","0","10","4","0","0","17","0","9","5","1","0","0","26","1","3","5","0","0","0","13","4","0","11","4","0","0","0","29","6","7","3","0","0","26","7","0","12","8","0","0","13","3","3","5","2","0","0","25","7","0","5","2","0","0","10","5","2","0","4","0","0","17","4","3","1","1","0","0","13","5","4","4","4","0","0","18","1","3","4","6","0","0",
"벙커확장키트","화이트워시 이층","7","1","49","68086000","3","1","3","1","1","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","1","2","0","0","0","4","1","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","1","1","0","0","0","0","3","1","0","1","1","0","0","0","1","1","0","0","0","0",
"현대물류용 뉴트럴 플라이우드 데스크","리어탑-오크솔리드원목","-1","5","60","66715500","1","0","1","0","0","0","0","2","2","0","0","0","0","0","3","0","1","1","1","0","0","3","0","0","0","0","0","0","4","0","0","3","1","0","0","0","5","1","1","0","0","0","6","1","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","5","1","0","0","1","0","0","0","0","0","1","0","0","0","4","0","2","0","0","0","0","2","0","1","0","0","0","0",
"독서클립","그린","43","0","2240","66342460","78","26","38","23","17","0","0","87","34","0","50","26","0","0","64","17","26","72","14","0","0","75","39","20","24","19","0","0","51","29","0","58","58","0","0","0","92","21","28","41","0","0","77","45","0","38","31","0","0","54","16","15","43","7","0","0","62","17","17","38","26","0","0","52","26","21","0","49","0","0","49","15","16","19","10","0","0","45","48","15","27","14","0","0","138","14","21","24","24","0","0",
"언더_리어탑바스켓","브라운","666","75","460","63113443","25","5","7","6","5","0","0","16","4","0","9","4","0","0","19","1","7","7","2","0","0","24","3","2","5","0","0","0","19","5","0","10","4","0","0","0","32","5","7","3","0","0","26","9","0","13","8","0","0","12","3","2","5","3","0","0","28","6","0","5","2","0","0","11","3","4","0","3","0","0","16","4","2","1","1","0","0","14","5","3","5","3","0","0","19","0","3","2","3","0","0",
"뉴트럴 플라이우드 데스크","리어탑-오트밀","202","16","65","61168075","6","0","1","0","2","0","0","2","1","0","6","1","0","0","5","0","1","0","0","0","0","6","0","0","0","0","0","0","1","2","0","0","0","0","0","0","4","1","1","0","0","0","3","0","0","3","2","0","0","3","0","1","0","1","0","0","3","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0",
"현대물류용 싱글침대","화이트워시","1","0","66","59649000","3","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","4","1","0","5","1","0","0","0","8","1","2","0","0","0","1","1","0","0","0","0","0","3","0","0","4","0","0","0","8","0","0","0","1","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","0","4","1","1","0","0","0","0","1","0","0","0","2","0","0",
"현대물류용 뉴트럴 플라이우드 데스크","상판-유로화이트","1","0","69","58165796","5","2","3","0","1","0","0","2","0","0","0","4","0","0","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","5","0","0","0","0","6","1","1","0","0","0","6","2","0","2","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","5","1","0","0","1","0","0","3","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0",
