상품명,옵션내용,현재고,미발송수,주문수,주문금액,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
현대물류용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,10,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,33,47,1
에바다용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,7,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,37,44,0
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",5,16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,49,0
현대물류용 뉴트럴 플라이우드 데스크,프레임-오프화이트,11,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,119,116,145,255,111,111,139,264,112,96,144,170,71,77,104,120,59,1
에바다용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,0,27,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,28,36,0
자체 스프라우트 매트리스,SS(110*200) - 17cm,174,85,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,211,285,3
에바다용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,0,16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,20,28,0
학생의자 웨일체어,화이트,266,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,249,443,498,690,1276,643,326,587,1018,383,6
학생의자 웨일체어,실리콘 로고캡,622,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,441,498,687,1234,640,326,585,1020,383,6
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",10,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,30,0
자체 보리침대용 안전가드,헤이하이침대용 하이간살가드,153,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,57,0
학생의자 웨일체어,발받침,281,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,386,413,570,1128,560,287,512,919,329,6
에바다용 캠퍼(Camper) 하이확장키트,소프트화이트 1번,1,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,15,22,0
에바다용 캠퍼(Camper) 하이확장키트,소프트화이트 2번,1,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,15,22,0
터치 LED 스탠드,단일상품,469,61,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,729,1322,3012,1393,1377,1669,3075,2096,1563,2228,2786,997,1130,1390,1782,569,605,616,1321,508,500,585,1159,447,444,487,767,297,321,438,549,246,4
에바다용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,3,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,14,21,0
자체 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리(수납통 3ea) - 화이트/베이지 공용,78,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,29,32,31,32,0
